ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
7054,2021-09-12 21:00:00,2021-09-13 01:00:00,2021-09-12 20:45:00,89193,1,89194,89210,45046.3,45823.9931111,Stop,1.72643060831,2.87738434718,16,11673,3,0.703594839014,3,0.507152266754,4,0.550922576199,2,0.710385557189,2
7055,2021-09-12 21:15:00,2021-09-13 01:00:00,2021-09-12 20:45:00,89193,2,89195,89210,45046.5,45825.0402222,Stop,1.72830346913,2.88050578189,15,11674,3,0.632091713559,3,0.450770194901,4,0.64395083838,2,0.680062996049,2
7056,2021-09-12 21:30:00,2021-09-13 01:00:00,2021-09-12 20:45:00,89193,3,89196,89210,44972,45824.6686667,Stop,1.89599899197,3.15999831994,14,11675,3,0.776134276959,5,0.586080010744,4,0.628942670444,2,0.782455102677,2
7057,2021-09-12 23:30:00,2021-09-13 00:30:00,2021-09-12 23:30:00,89204,0,89204,89208,46240.4,45962.9576,Stop,-0.6,-1,4,11676,3,0.389261194837,4,0.523303522456,4,0.342227135711,2,0.355165651447,2
7058,2021-09-12 23:45:00,2021-09-13 01:00:00,2021-09-12 23:30:00,89204,1,89205,89210,46170.5,45893.477,Stop,-0.6,-1,5,11677,3,0.326862453099,3,0.550487339266,4,0.410638112045,2,0.547104510895,2
7059,2021-09-13 14:00:00,2021-09-13 14:00:00,2021-09-13 14:00:00,89262,0,89262,89262,46100.7,45824.0958,Stop,-0.6,-1,0,11688,3,0.468903124705,5,0.505660757584,3,0.675266928141,2,0.652295895328,2
7060,2021-09-14 01:30:00,2021-09-16 03:15:00,2021-09-14 01:30:00,89308,0,89308,89507,45193.6,47339.3802222,Stop,4.74797365605,7.91328942676,199,11696,3,0.685736794554,3,0.434032590668,4,0.636400955893,2,0.747687915775,2
7061,2021-09-14 01:45:00,2021-09-16 03:15:00,2021-09-14 01:30:00,89308,1,89309,89507,45119.1,47343.8726667,Stop,4.93088884013,8.21814806688,198,11697,3,0.621380919101,5,0.485351418199,4,0.593332309324,2,0.604871751378,2
7062,2021-09-14 02:00:00,2021-09-16 03:15:00,2021-09-14 01:30:00,89308,2,89310,89507,45087.1,47347.4488889,Stop,5.01329402177,8.35549003628,197,11698,3,0.658500134312,5,0.655098416324,4,0.719437747913,2,0.741972479651,2
7063,2021-09-14 02:15:00,2021-09-16 03:15:00,2021-09-14 01:30:00,89308,3,89311,89507,45006.7,47348.116,Stop,5.20237209127,8.67062015211,196,11699,3,0.615169957876,4,0.676257002944,4,0.582341168434,2,0.665425030732,2
7064,2021-09-16 03:30:00,2021-09-16 10:15:00,2021-09-16 03:30:00,89508,0,89508,89535,47370.5,47816.0775556,Stop,0.940622445521,1.56770407587,27,11700,3,0.573519189705,5,0.508215309416,1,0.444962540363,2,0.519740523582,2
7065,2021-09-16 03:45:00,2021-09-16 10:15:00,2021-09-16 03:30:00,89508,1,89509,89535,47467.8,47815.9297778,Stop,0.733401964653,1.22233660776,26,11701,3,0.49624130597,4,0.332812856689,1,0.493404566375,2,0.467480266711,2
7066,2021-09-16 04:00:00,2021-09-16 10:15:00,2021-09-16 03:30:00,89508,2,89510,89535,47564.3,47816.3055556,Stop,0.529820801642,0.883034669404,25,11702,3,0.411728097006,3,0.36879725354,1,0.520385304165,2,0.501146150289,2
7067,2021-09-16 10:30:00,2021-09-16 13:45:00,2021-09-16 10:30:00,89536,0,89536,89549,47731.3,47495.0033333,Stop,-0.495056004481,-0.825093340801,13,11704,3,0.493527145645,2,0.520154310613,4,0.593720645841,2,0.544430460252,2
7068,2021-09-16 10:45:00,2021-09-16 13:45:00,2021-09-16 10:30:00,89536,1,89537,89549,47817.3,47530.3962,Stop,-0.6,-1,12,11705,3,0.427853271452,2,0.362077207924,4,0.514901663462,2,0.412750258906,2
7069,2021-09-16 11:00:00,2021-09-16 13:45:00,2021-09-16 10:30:00,89536,2,89538,89549,47788,47501.272,Stop,-0.6,-1,11,11706,3,0.381306138403,1,0.434985095973,4,0.508484693774,2,0.370287201535,2
7070,2021-09-16 11:15:00,2021-09-16 13:45:00,2021-09-16 10:30:00,89536,3,89539,89549,47846.1,47559.0234,Stop,-0.6,-1,10,11707,3,0.374469083327,1,0.324388535523,4,0.477491205323,2,0.398541854861,2
7071,2021-09-16 14:00:00,2021-09-16 17:30:00,2021-09-16 14:00:00,89550,0,89550,89564,47402.9,47551.692,Stop,0.31388796888,0.523146614799,14,11708,3,0.578249525939,5,0.529684738842,5,0.546853796045,2,0.432626067174,2
7072,2021-09-16 14:15:00,2021-09-16 17:30:00,2021-09-16 14:00:00,89550,1,89551,89564,47368,47550.9531111,Stop,0.386237778904,0.643729631506,13,11709,3,0.549090623637,4,0.625941116089,5,0.617572935455,2,0.665736955913,2
7073,2021-09-16 14:30:00,2021-09-16 17:30:00,2021-09-16 14:00:00,89550,2,89552,89564,47514.9,47541.926,Stop,0.056879000061,0.0947983334351,12,11710,3,0.490696545788,4,0.469980446505,5,0.697456023924,2,0.55821500379,2
7074,2021-09-16 14:45:00,2021-09-16 17:30:00,2021-09-16 14:00:00,89550,3,89553,89564,47619,47540.7648889,Stop,-0.164293897627,-0.273823162712,11,11711,3,0.401875558792,4,0.449688463186,5,0.501519565315,2,0.352457832374,2
