leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
1,102622,2022-02-01 15:15:00,38380.80000000,160.73888889,100.40960846,100.72099863,38046.41537263,38036.66365713,38991.60777778,38150.51520000,1,6,2022-02-01 16:35:00
0,102623,2022-02-01 15:15:00,38380.80000000,160.73888889,100.20679175,100.40960846,38055.21681982,38046.41537263,38991.60777778,38150.51520000,1,6,2022-02-01 16:35:00
2,102622,2022-02-01 15:30:00,38461.40000000,158.65888889,100.40960846,100.72099863,38046.41537263,38036.66365713,39064.30377778,38230.63160000,1,6,2022-02-01 16:57:00
1,102623,2022-02-01 15:30:00,38461.40000000,158.65888889,100.20679175,100.40960846,38055.21681982,38046.41537263,39064.30377778,38230.63160000,1,6,2022-02-01 16:57:00
3,102622,2022-02-01 15:45:00,38388.40000000,157.23777778,100.40960846,100.72099863,38046.41537263,38036.66365713,38985.90355556,38158.06960000,1,2,2022-02-01 16:13:00
2,102623,2022-02-01 15:45:00,38388.40000000,157.23777778,100.20679175,100.40960846,38055.21681982,38046.41537263,38985.90355556,38158.06960000,1,2,2022-02-01 16:13:00
3,102623,2022-02-01 16:00:00,38664.80000000,158.21666667,100.20679175,100.40960846,38055.21681982,38046.41537263,39266.02333333,38432.81120000,0,14,2022-02-01 19:16:00
0,102638,2022-02-01 19:00:00,38482.80000000,170.78111111,100.05616020,101.02921941,38223.16158656,38214.01950315,39131.76822222,38251.90320000,0,47,2022-02-02 06:44:00
1,102638,2022-02-01 19:15:00,38472.40000000,169.92333333,100.05616020,101.02921941,38223.16158656,38214.01950315,39118.10866667,38241.56560000,0,46,2022-02-02 06:44:00
2,102638,2022-02-01 19:30:00,38419.70000000,170.47222222,100.05616020,101.02921941,38223.16158656,38214.01950315,39067.49444444,38189.18180000,0,50,
3,102638,2022-02-01 19:45:00,38342.10000000,170.83555556,100.05616020,101.02921941,38223.16158656,38214.01950315,38991.27511111,38112.04740000,0,50,
0,102690,2022-02-02 08:00:00,38238.40000000,165.37555556,99.46157408,99.60444975,38522.55275860,38521.74657385,38866.82711111,38008.96960000,0,27,2022-02-02 14:33:00
1,102690,2022-02-02 08:15:00,38346.40000000,164.06444444,99.46157408,99.60444975,38522.55275860,38521.74657385,38969.84488889,38116.32160000,0,26,2022-02-02 14:32:00
2,102690,2022-02-02 08:30:00,38336.40000000,164.09555556,99.46157408,99.60444975,38522.55275860,38521.74657385,38959.96311111,38106.38160000,0,25,2022-02-02 14:32:00
3,102690,2022-02-02 08:45:00,38362.60000000,162.97333333,99.46157408,99.60444975,38522.55275860,38521.74657385,38981.89866667,38132.42440000,0,24,2022-02-02 14:32:00
0,102864,2022-02-04 03:30:00,37323.40000000,152.48333333,100.15537159,101.02205065,36908.29758817,36907.36060260,37902.83666667,37099.45960000,1,12,2022-02-04 06:19:00
1,102864,2022-02-04 03:45:00,37292.60000000,152.50111111,100.15537159,101.02205065,36908.29758817,36907.36060260,37872.10422222,37068.84440000,1,10,2022-02-04 06:09:00
2,102864,2022-02-04 04:00:00,37272.20000000,151.48000000,100.15537159,101.02205065,36908.29758817,36907.36060260,37847.82400000,37048.56680000,1,9,2022-02-04 06:09:00
3,102864,2022-02-04 04:15:00,37283.00000000,151.38777778,100.15537159,101.02205065,36908.29758817,36907.36060260,37858.27355556,37059.30200000,1,8,2022-02-04 06:09:00
0,102905,2022-02-04 13:45:00,37506.80000000,143.56888889,98.84386818,99.56391946,37094.11419070,37084.56751343,38052.36177778,37281.75920000,0,2,2022-02-04 14:01:00
1,102905,2022-02-04 14:00:00,37384.10000000,142.34666667,98.84386818,99.56391946,37094.11419070,37084.56751343,37925.01733333,37159.79540000,1,3,2022-02-04 14:30:00
2,102905,2022-02-04 14:15:00,37506.90000000,143.31444444,98.84386818,99.56391946,37094.11419070,37084.56751343,38051.49488889,37281.85860000,1,4,2022-02-04 15:04:00
3,102905,2022-02-04 14:30:00,37736.70000000,144.77222222,98.84386818,99.56391946,37094.11419070,37084.56751343,38286.83444444,37510.27980000,1,3,2022-02-04 15:05:00
0,102910,2022-02-04 15:00:00,37903.60000000,147.08444444,100.11727974,100.19851248,37133.64947938,37123.65944029,38462.52088889,37676.17840000,1,1,2022-02-04 15:07:00
1,102910,2022-02-04 15:15:00,38714.00000000,157.10222222,100.11727974,100.19851248,37133.64947938,37123.65944029,39310.98844444,38481.71600000,1,1,2022-02-04 15:18:00
2,102910,2022-02-04 15:30:00,39455.30000000,166.67777778,100.11727974,100.19851248,37133.64947938,37123.65944029,40088.67555556,39218.56820000,1,4,2022-02-04 16:27:00
3,102910,2022-02-04 15:45:00,39333.90000000,170.94888889,100.11727974,100.19851248,37133.64947938,37123.65944029,39983.50577778,39097.89660000,1,3,2022-02-04 16:27:00
0,102935,2022-02-04 21:15:00,40415.90000000,193.43111111,100.14669587,100.58625053,37908.37867687,37892.94932851,41150.93822222,40173.40460000,1,11,2022-02-04 23:48:00
1,102935,2022-02-04 21:30:00,40460.70000000,193.01000000,100.14669587,100.58625053,37908.37867687,37892.94932851,41194.13800000,40217.93580000,1,10,2022-02-04 23:49:00
0,102936,2022-02-04 21:30:00,40460.70000000,193.01000000,99.90740512,100.14669587,37924.71510338,37908.37867687,41194.13800000,40217.93580000,1,10,2022-02-04 23:49:00
2,102935,2022-02-04 21:45:00,40504.30000000,192.29555556,100.14669587,100.58625053,37908.37867687,37892.94932851,41235.02311111,40261.27420000,1,9,2022-02-04 23:49:00
1,102936,2022-02-04 21:45:00,40504.30000000,192.29555556,99.90740512,100.14669587,37924.71510338,37908.37867687,41235.02311111,40261.27420000,1,9,2022-02-04 23:49:00
3,102935,2022-02-04 22:00:00,40585.90000000,192.41000000,100.14669587,100.58625053,37908.37867687,37892.94932851,41317.05800000,40342.38460000,1,8,2022-02-04 23:49:00
2,102936,2022-02-04 22:00:00,40585.90000000,192.41000000,99.90740512,100.14669587,37924.71510338,37908.37867687,41317.05800000,40342.38460000,1,8,2022-02-04 23:49:00
3,102936,2022-02-04 22:15:00,40468.90000000,194.29666667,99.90740512,100.14669587,37924.71510338,37908.37867687,41207.22733333,40226.08660000,1,7,2022-02-04 23:49:00
0,102939,2022-02-04 22:15:00,40468.90000000,194.29666667,100.19411418,100.53777824,37984.91998674,37971.14810697,41207.22733333,40226.08660000,1,7,2022-02-04 23:49:00
1,102939,2022-02-04 22:30:00,40491.90000000,191.63111111,100.19411418,100.53777824,37984.91998674,37971.14810697,41220.09822222,40248.94860000,1,6,2022-02-04 23:49:00
