ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
24333,2024-11-29 23:15:00,1,2024-11-29 23:30:00,2024-11-29 23:30:00,97238.5000,97345.2000,Friday,0.1097,0.1829,0
24334,2024-11-29 23:00:00,2,2024-11-29 23:30:00,2024-11-29 23:30:00,97238.5000,97345.2000,Friday,0.1097,0.1829,0
24335,2024-11-29 23:30:00,1,2024-11-29 23:45:00,2024-11-29 23:45:00,97345.8000,97425.4000,Friday,0.0818,0.1363,0
24336,2024-11-29 23:15:00,2,2024-11-29 23:45:00,2024-11-29 23:45:00,97345.8000,97425.4000,Friday,0.0818,0.1363,0
24337,2024-11-29 23:00:00,3,2024-11-29 23:45:00,2024-11-29 23:45:00,97345.8000,97425.4000,Friday,0.0818,0.1363,0
24338,2024-11-30 00:00:00,0,2024-11-30 00:00:00,2024-11-30 01:00:00,97425.4000,96840.8476,Stop,-0.6000,-1.0000,4
24339,2024-11-29 23:30:00,2,2024-11-30 00:00:00,2024-11-30 01:00:00,97425.4000,96840.8476,Stop,-0.6000,-1.0000,4
24340,2024-11-29 23:15:00,3,2024-11-30 00:00:00,2024-11-30 01:00:00,97425.4000,96840.8476,Stop,-0.6000,-1.0000,4
24341,2024-11-30 00:00:00,1,2024-11-30 00:15:00,2024-11-30 01:15:00,97210.7000,96627.4358,Stop,-0.6000,-1.0000,4
24342,2024-11-29 23:30:00,3,2024-11-30 00:15:00,2024-11-30 01:15:00,97210.7000,96627.4358,Stop,-0.6000,-1.0000,4
24343,2024-11-30 00:00:00,2,2024-11-30 00:30:00,2024-11-30 01:15:00,97207.0000,96623.7580,Stop,-0.6000,-1.0000,3
24344,2024-11-30 00:00:00,3,2024-11-30 00:45:00,2024-11-30 02:00:00,96962.4000,96380.6256,Stop,-0.6000,-1.0000,5
24345,2024-11-30 01:15:00,0,2024-11-30 01:15:00,2024-11-30 10:45:00,96758.9000,96199.3982,Stop,-0.5782,-0.9637,38
24346,2024-11-30 01:15:00,1,2024-11-30 01:30:00,2024-11-30 10:45:00,96676.8000,96198.7227,Stop,-0.4945,-0.8242,37
24347,2024-11-30 01:15:00,2,2024-11-30 01:45:00,2024-11-30 10:45:00,96627.3000,96197.7009,Stop,-0.4446,-0.7410,36
24348,2024-11-30 01:15:00,3,2024-11-30 02:00:00,2024-11-30 10:45:00,96395.9000,96195.7164,Stop,-0.2077,-0.3461,35
24349,2024-11-30 11:00:00,0,2024-11-30 11:00:00,2024-12-01 01:45:00,96151.7000,96116.9156,Stop,-0.0362,-0.0603,59
24350,2024-11-30 11:00:00,1,2024-11-30 11:15:00,2024-12-01 01:45:00,96310.7000,96119.6600,Stop,-0.1984,-0.3306,58
24351,2024-11-30 11:00:00,2,2024-11-30 11:30:00,2024-12-01 01:45:00,96387.2000,96122.3622,Stop,-0.2748,-0.4579,57
24352,2024-11-30 11:00:00,3,2024-11-30 11:45:00,2024-12-01 01:45:00,96334.7000,96124.7689,Stop,-0.2179,-0.3632,56
24353,2024-12-01 09:00:00,0,2024-12-01 09:00:00,2024-12-01 20:15:00,97099.2000,96894.5758,Stop,-0.2107,-0.3512,45
24354,2024-12-01 09:00:00,1,2024-12-01 09:15:00,2024-12-01 20:15:00,96980.7000,96891.3669,Stop,-0.0921,-0.1535,44
24355,2024-12-01 09:00:00,2,2024-12-01 09:30:00,2024-12-01 20:15:00,96923.7000,96895.2724,Stop,-0.0293,-0.0489,43
