breakeven_R,atr14_pct,atr_ratio_14_90,vol20,vol200,vol_ratio_20_200,range_pct,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,ret20_atr,ret50_atr,pos_in_range50,dist_hh20_atr,mom14,mom_diff,vwap_dist_atr,vwap_slope_atr,rsi14,vol_ratio_volume,gap_open_atr,hour,dow,label,entry_time,label_end_time,origin_bar,entry_bar,entry_price,leg,entry_vs_base_R
2.36574995,0.00375484,1.00520518,0.00222987,0.00385245,0.57881952,0.00217071,-1.72513365,-2.07432019,-0.32855142,-6.09933028,-2.21205503,0.04762427,-6.28838174,98.84472486,0.14873765,-0.69017022,0.02478921,28.11436351,0.33124612,0.00000000,23,4,0,2025-01-24 23:30:00,2025-01-25 12:00:00,198654,198656,104528.00000000,2,-0.31415492
2.36311700,0.00381866,1.02342977,0.00226921,0.00385286,0.58896742,0.00270669,-1.21919793,-1.62413940,0.02365172,-4.96990493,-1.73911645,0.09828450,-5.03170348,99.08625914,0.24153429,-0.36449951,0.03328439,32.83539622,0.38844077,0.00000000,23,4,0,2025-01-24 23:45:00,2025-01-25 12:15:00,198654,198657,104666.50000000,3,-0.09373721
2.35786081,0.00353259,0.94887429,0.00231566,0.00385979,0.59994540,0.00345006,-1.61315015,-2.16973946,-0.52706557,-4.49269303,-2.02535664,0.02348294,-5.42353328,99.45636133,-0.17713771,-1.04888213,0.04782510,39.35178278,0.48359085,-0.00081296,0,5,0,2025-01-25 00:15:00,2025-01-25 12:45:00,198659,198659,104461.70000000,0,0.00000000
2.35350692,0.00326359,0.87819864,0.00221741,0.00386017,0.57443493,0.00274426,-1.35766708,-2.02011202,-0.32266805,-5.39401679,-2.47543283,0.05395223,-5.58364561,99.73840745,0.28204612,-0.93898720,0.04869898,44.62563701,0.41162500,0.01377520,0,5,0,2025-01-25 00:30:00,2025-01-25 13:00:00,198659,198660,104550.00000000,1,0.14088098
2.35414739,0.00319227,0.85888474,0.00203815,0.00385473,0.52874082,0.00282152,-1.33016490,-2.06338342,-0.40768755,-4.13067586,-2.16364454,0.04689494,-4.16274539,99.50541473,-0.23299272,-1.09127109,0.04923385,38.99504300,0.61095173,-0.02607523,0,5,0,2025-01-25 00:45:00,2025-01-25 13:15:00,198659,198661,104509.30000000,2,0.07594490
2.35974511,0.00313686,0.84192029,0.00204427,0.00384603,0.53152896,0.00269971,-1.70609009,-2.52983129,-0.93593866,-4.29281599,-2.89171613,0.02121159,-4.30870286,99.14475503,-0.36065970,-1.69250336,0.05034283,30.65549108,0.55005999,-0.00641585,1,5,0,2025-01-25 01:00:00,2025-01-25 13:30:00,198659,198662,104342.50000000,3,-0.19018135
3.82717471,0.00543404,0.89913572,0.00382105,0.00302707,1.26229059,0.00342500,1.33029720,1.91585853,-0.80727547,4.56364201,4.59136084,0.81393401,-1.40894974,101.98197637,-0.58113023,1.05807091,0.00086237,70.85243477,0.57972159,0.02174026,23,0,0,2025-01-27 23:00:00,2025-01-28 11:30:00,198942,198942,101588.70000000,0,0.00000000
3.82093148,0.00550785,0.91294779,0.00382544,0.00303963,1.25852005,0.00513838,1.79783218,2.46213364,-0.11281958,4.52569321,5.78270160,0.90523243,-0.70534215,102.31034991,0.32837354,1.71638362,0.00312144,72.74289778,0.68692867,-0.00017807,23,0,0,2025-01-27 23:15:00,2025-01-28 01:59:00,198942,198943,101958.20000000,1,0.60620259
3.79861428,0.00559848,0.93334159,0.00378581,0.00304437,1.24354213,0.00465737,1.17558844,1.87796611,-0.57955431,4.56964693,5.94414193,0.83765601,-1.16985772,102.08284813,-0.22750179,1.21956517,-0.00057342,69.61281053,0.75510320,0.01493062,23,0,0,2025-01-27 23:30:00,2025-01-28 12:00:00,198942,198944,101696.90000000,2,0.17751318
3.75351676,0.00557007,0.93989633,0.00378213,0.00304451,1.24227777,0.00282355,1.11251928,1.85949787,-0.52867772,4.63301353,5.43239325,0.83355488,-1.12714482,102.06291598,-0.01993215,1.27216661,0.00164904,69.50384214,0.66852997,-0.01041365,23,0,0,2025-01-27 23:45:00,2025-01-28 12:15:00,198942,198945,101709.90000000,3,0.19884101
